wallet_id,num_transactions,total_value_eth,avg_gas_price,max_gas_price,num_transactions_scaled,total_value_scaled,avg_gas_scaled,max_gas_scaled,risk_score
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,100,0.0,20526492581.26,238037152756,0.9999999999999999,0.0,0.13598100901350224,0.2962594085189352,456.8221426545939
0x06b51c6882b27cb05e712185531c1f74996dd988,5,5.70185e+17,52800000000.0,80000000000,0.020618556701030924,7.302694804402054e-252,0.359957010076314,0.0987376577927759,90.11259047495277
0x0795732aacc448030ef374374eaae57d2965c16c,4,0.0186,58500000000.0,66000000000,0.010309278350515462,2.3822114464932995e-271,0.39951463204450194,0.08123984501937259,92.15062225104384
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,80,0.0,39981714276.425,223000000000,0.7938144329896907,0.0,0.27099895728098056,0.2774653168353956,399.472096335612
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,5,7.404691e+17,52140000000.0,73700000000,0.020618556701030924,9.483623472013935e-252,0.35537665384841854,0.09086364204474441,88.40911765457052
0x104ae61d8d487ad689969a17807ddc338b445416,6,4.7485750759999995e+37,82164607671.83333,245000000000,0.030927835051546393,6.081779516440855e-232,0.5637454398178114,0.30496187976502936,155.6164099606838
0x111c7208a7e2af345d36b6d4aace8740d61a3078,6,1.0413191e+19,23000000000.0,27000000000,0.030927835051546393,1.3336786448774737e-250,0.15314698645315583,0.03249593800774903,46.25012511202463
0x124853fecb522c57d9bd5c21231058696ca6d596,7,8.79047391130829e+34,17800000000.0,22000000000,0.04123711340206185,1.1258477189042654e-234,0.11705933132428258,0.026246719160104987,42.53138354169175
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,4,0.016,34800000000.0,41000000000,0.010309278350515462,2.049214147521118e-271,0.23503820386098356,0.049993750781152355,56.13072719051814
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,100,0.0,96105000000.0,530000000000,0.9999999999999999,0.0,0.6604908380293633,0.6611673540807399,598.2149030139466
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,6,2.71952e+16,14100000000.0,18000000000,0.030927835051546393,3.4830492865416447e-253,0.09138157671335355,0.021247344081989753,32.772183771488244
0x19df3e87f73c4aaf4809295561465b993e102668,31,6.561833500000001e+127,12775690587.67742,53000000000,0.28865979381443296,8.404126276173761e-142,0.08219095722185006,0.06499187601549807,138.401296571693
0x1ab2ccad4fc97c9968ea87d4435326715be32872,5,9.535932e+17,41400000000.0,47000000000,0.020618556701030924,1.2213229227624595e-251,0.28084176613993805,0.05749281339832521,70.16505724823249
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,100,0.0,99897321720.78,489000000000,0.9999999999999999,0.0,0.6868092992596024,0.6099237595300587,598.3542358049262
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,3,1313101330000000.0,29033333333.333332,36000000000,0.0,1.6817661391029978e-254,0.1950179196475536,0.043744531933508315,43.378037122861556
0x22d7510588d90ed5a87e0f838391aaafa707c34b,76,0.0,78848472406.8158,202000000000,0.7525773195876289,0.0,0.5407316810092254,0.2512185976752906,434.29912380442573
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,22,7.807871138970415e+268,36863636419.77273,132000000000,0.1958762886597938,1.0,0.24935970375101066,0.16372953380827399,444.59540959494706
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,7,1.6e+47,34485714285.71429,61000000000,0.04123711340206185,2.049214147521118e-222,0.23285708184770001,0.07499062617172854,70.56532434753761
0x27f72a000d8e9f324583f3a3491ea66998275b28,5,1.2633925e+18,28200000000.0,37000000000,0.020618556701030924,1.6181011155450464e-251,0.18923464158202907,0.044994375703037125,50.593788567121905
0x2844658bf341db96aa247259824f42025e3bcec2,4,0.016,50700000000.0,53000000000,0.010309278350515462,2.049214147521118e-271,0.3453831493511921,0.06499187601549807,79.69952881199441
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,5,1.47417187e+18,21320000000.0,27000000000,0.020618556701030924,1.888058657426039e-251,0.14148789787305832,0.03249593800774903,39.794596055798934
0x330513970efd9e8dd606275fb4c50378989b3204,100,0.0,43246623394.77,626000000000,0.9999999999999999,0.0,0.29365721002904743,0.7811523559555056,536.84667760136
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,100,0.0,21423334006.63,275000000000,0.9999999999999999,0.0,0.14220502902581758,0.34245719285089365,462.6867250902528
0x3867d222ba91236ad4d12c31056626f9e798629c,4,0.016,24550000000.0,32000000000,0.010309278350515462,2.049214147521118e-271,0.1639038836550315,0.03874515685539308,40.77900375675179
0x3a44be4581137019f83021eeee72b7dc57756069,4,0.0186,57500000000.0,77000000000,0.010309278350515462,2.3822114464932995e-271,0.3925746983658725,0.09498812648418949,92.13746366179964
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,5,0.0186,28400000000.0,32000000000,0.020618556701030924,2.3822114464932995e-271,0.19062262831775495,0.03874515685539308,50.24646402950267
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,100,0.0,45702480013.45,499000000000,0.9999999999999999,0.0,0.3107006920869098,0.6224221972253468,524.3823581399166
0x4814be124d7fe3b240eb46061f7ddfab468fe122,100,0.0,61726094422.87,154000000000,0.9999999999999999,0.0,0.4219035133802162,0.19122609673790777,503.503312349834
0x4839e666e2baf12a51bf004392b35972eeddeabf,20,8.62924935e+51,141759000000.0,270000000000,0.17525773195876287,1.1051987406567133e-217,0.977326570193513,0.3362079740032496,299.1892042225327
